Shelley's office reported Friday that 575,926 signatures have been reported to him.	The island nation reported 65 new cases on May 22, a one day record, and 55 new cases on May 23, making Taiwan's epidemic the fastest-growing in the world.	There are a total of 659 women enrolled at the academy, the report said.	North American futures pointed to a sub-par start to trading on Tuesday, with investors ready to get their first taste of quarterly earnings.	Calvin Hollins Jr.'s attorney, Thomas Royce, has repeatedly said his client had no link with the company that owned and operated E2.
Western Europeans, who have been spared this legacy, should heed our warnings.	The questions are many.	Pro-market economists don't object to corporations that blatantly use snob appeal to promote their products.	Putin's Russia has already lost 12 leading journalists to murder in the past six years.	They are ignorant, poor, and sick.
Western Europeans, who have forgotten this history, should heed our warnings.	There are many questions.	Economists pro-marché are not opposed to companies which openly using the attractiveness of luxury to promote their products.	Putin's Russia has already lost 12 prominent journalists, murdered during the past six years.	They are poor, sick and uncultivated.

This gross error is leading Russia to political ruin.	This is a clear if implicit repudiation of Mubarak, the sole ruler for 24 years.	Indeed, intolerance goes right to the top of the Turkish government.	This is a clear if implicit repudiation of Mubarak, the sole ruler for 24 years.	Pro-market economists don't object to corporations that blatantly use snob appeal to promote their products.
And this gross mistake is conducting Russia policy to his downfall.	This is an implicit but clear répudiation of Mubarak, only Head of State for 24 years.	It is indisputable that reaches to the Turkish government.	It has been an implicit but clear repudiation of Mubarak, only Head of State for 24 years.	Economists pro-marché not contradictory businesses that use openly the attraction of luxury to promote their products.

The questions are many.	This gross error is leading Russia to political ruin.	And, perhaps most importantly, Ahmadinejad is a destabilizing influence; Bernanke is not.	This tendency extends deeper than headscarves.	It then appointed a task force to formulate the necessary changes in tax and spending policies.
There are many questions.	And this gross mistake is conducting Russia policy to his downfall.	And, perhaps most important, Ahmadinejad has destabilizing influence, not Bernanke	This trend goes well beyond simple scarves.	It was then appointed a working party to make the necessary changes to policies of public spending and tax policies.

Other ways are needed.	The People Versus Putin	The questions are many.	Each side had quite different theories and explanations of what was going on.	Some results are remarkable.
We must find other ways.	The people against Putin	Many questions are.	Every originator had theories and explanations significantly different on the situation.	Certain results are remarkable.

But the returns that make US stock markets so attractive reflect a delicate political balance.	Pro-market economists don't object to corporations that blatantly use snob appeal to promote their products.	That is the spirit in which the European Constitution must be written.	And, perhaps most importantly, Ahmadinejad is a destabilizing influence; Bernanke is not.	Tocqueville believed that there are no effective long-term constraints on this tendency.
But the returns which return the US markets of the transferable securities if attracting reflect a fragile political balance.	Economists pro-marché are not opposed to companies which openly using the attractiveness of luxury to promote their products.	That is the spirit in which must be developed the European Constitution.	And, perhaps most importantly, Ahmadinejad has an influence, not destabilizing Bernanke.	Thought that in the long term, nothing can actually to this trend.

After all, they recommend the policies that politicians may or may not want to consider.	It then appointed a task force to formulate the necessary changes in tax and spending policies.	Each time, radical improvements in technology made the threat evaporate.	They are ignorant, poor, and sick.	That is the spirit in which the European Constitution must be written.
After all, they recommended policies that politicians or not take into account.	Then appointed a working party to make the necessary changes to give the policies public spending and to fiscal policies.	Each time, radical technological progress made it off these threats.	They are uncultivated, poor and sick.	That is the spirit in which must be worked out the European Constitution.

Yet a process of de-institutionalization of religious experience is also taking place within Islam.	But, like the Union itself, it will be built and it will be done.	The book's success is itself a sign of a kind of "malaise."	Moreover, the main oil exporters are unwilling to subordinate their investment policies to market requirements.	Jobs, in particular, will help young people to create new lives through serious work.
However, a process of desinstitutionalisation of the religious experiment also occurs within Islam.	But like the EU itself, this will be built and this will happen.	The success of the paper is itself a sign of malaise ".	What is more, the large oil exporters are not prepared to submit their investment policies to market conditions.	Employment, in particular, would help the young people to forge new lives thanks to serious employment.

They are ignorant, poor, and sick.	None of this absolves rich countries of their responsibility to help.	They are ignorant, poor, and sick.	None of this absolves rich countries of their responsibility to help.	Yet a process of de-institutionalization of religious experience is also taking place within Islam.
They are poor, sick and uncultivated.	This does not however absolve the rich countries of their obligation to help.	They are uncultivated, poor and sick.	That does not, however, the rich countries of their obligation to help.	However, a process of désinstitutionalisation experience of religious also happens within Islam.

Today's great Pax Europa and today's pan-European prosperity depend on this.	Yet a process of de-institutionalization of religious experience is also taking place within Islam.	Putin, too, also seems to suspect his regime's impotence.	More than that, the divisions are reproduced at the local level.	That is the spirit in which the European Constitution must be written.
The great Pax Europe of today, as prosperity pan-European today, depends on it.	However, a process of desinstitutionalisation of the religious experiment also occurs within Islam.	Putin, too, seems suspicion powerlessness of his regime.	Beyond geographical division, divisions reproduce at the local level.	That is the spirit in which must be worked out the European Constitution.

A Europe for All	Being a Muslim and being an Islamist are not the same thing.	Each side had quite different theories and explanations of what was going on.	A prominent Chinese businessman who divides his time between Hong-Kong and London was even more specific.	Putin's Russia has already lost 12 leading journalists to murder in the past six years.
A Europe for all	To be Moslem and be Islamiste are two different things.	Every originator had theories and explanations significantly different on the situation.	A man of influential, which shares his time between Hong Kong and London, has even been more precise.	Russia of Putin already lost 12 eminent journalists, assassinated during the six last years.

Each side had quite different theories and explanations of what was going on.	Indeed, intolerance goes right to the top of the Turkish government.	He did, but the initiative did not get very far.	Foremost among these is that economic development is largely in the hands of poor nations themselves.	Yet a process of de-institutionalization of religious experience is also taking place within Islam.
Each player had the theories and explanations markedly different situation.	It is indisputable that reaches to the Turkish government.	He has done, that the initiative not go very far.	On top of these lessons, we discover that economic development is left largely in the hands of poor nations themselves.	However, a process of de-institutionalisation religious experience is also happening within Islam.

The People Versus Putin	Today there are two plausible ways to proceed against a deposed tyrant.	This has left the Conservative opposition without an effective response.	Iraq's future depends directly on the fate of Iraqi oil production.	Iraq's future depends directly on the fate of Iraqi oil production.
The people against Putin	Today there are two plausible ways to proceed as regards a burden tyrant.	This leaves the conservative opposition without any effective response.	The future of Iraq is linked to oil production.	Iraq's future is linked to oil production of the country.

What we are witnessing today is a shift from a Muslim identity to an Islamist identity.	And, perhaps most importantly, Ahmadinejad is a destabilizing influence; Bernanke is not.	The questions are many.	Moreover, the main oil exporters are unwilling to subordinate their investment policies to market requirements.	Indeed, intolerance goes right to the top of the Turkish government.
We attend today the change of a Moslem identity for an islamist identity.	And, perhaps most importantly, Ahmadinejad has an influence, not destabilizing Bernanke.	The questions are many.	Who more is, the large oil exporters are not been willing to subject their policies of investment to the market rates.	It is undeniable that intolerance reached until the heights of the Turkish Government.

The bottom line is that when interest rates rise, asset values will fall.	Putin, too, also seems to suspect his regime's impotence.	Putin, too, also seems to suspect his regime's impotence.	Each time, radical improvements in technology made the threat evaporate.	Indeed, intolerance goes right to the top of the Turkish government.
The key is that when interest rates go up, the values of active fall.	Putin, too, seems suspicion powerlessness of his regime.	Putin, too, seems to suspect the powerlessness of his regime.	Each time, radical technological progress off these threats.	It is undeniable that intolerance reached until the tops of the Turkish government.

A prominent Chinese businessman who divides his time between Hong-Kong and London was even more specific.	Today there are two plausible ways to proceed against a deposed tyrant.	The People Versus Putin	The old version of the European response--what psychologists might call "dollar envy"--will only become more acute.	None of this absolves rich countries of their responsibility to help.
A businessman Chinese influential, which shares his time between Hong Kong and London, was even more specific.	Today there are two plausible ways to proceed as regards a burden tyrant.	The people against Putin	The old version of the European reaction (what psychologists call "'s desire dollar") will become more pervasive.	But that does not detract rich countries from their obligation to help.

Tocqueville believed that there are no effective long-term constraints on this tendency.	Jobs, in particular, will help young people to create new lives through serious work.	Each side had quite different theories and explanations of what was going on.	In other areas, sharia law is being introduced by force.	Some results are remarkable.
Tocqueville believed that in the long term, nothing can actually oppose this trend.	The jobs, in particular, would help young people to create new lives in serious jobs.	Each player had the theories and explanations markedly different situation.	In other regions, the sharia is imposed.	Some are noteworthy results.

Iraq's future depends directly on the fate of Iraqi oil production.	Each time, radical improvements in technology made the threat evaporate.	It then appointed a task force to formulate the necessary changes in tax and spending policies.	The bottom line is that when interest rates rise, asset values will fall.	Today there are two plausible ways to proceed against a deposed tyrant.
The future of Iraq is related to the oil production of the country.	Each time, of radicals technological advancements made fly away these threats.	It was then appointed a working party to make the necessary changes to policies of public spending and tax policies.	Essence, it is that when interest rates go up, the values of the credit fall.	Today there are two ways plausible proceeding against a tyrant deposed.

Each time, radical improvements in technology made the threat evaporate.	Each time, radical improvements in technology made the threat evaporate.	Putin's Russia has already lost 12 leading journalists to murder in the past six years.	That is the spirit in which the European Constitution must be written.	None of this absolves rich countries of their responsibility to help.
Each time, radical technological progress off these threats.	Each time, of radicals technological advancements made fly away these threats.	Putin's Russia has already lost 12 prominent journalists, murdered during the past six years.	This is the spirit in which must be drawn up the European Constitution.	This does not however absolve the rich countries of their obligation to help.

The president has fewer powers than it seems, overshadowed particularly by Supreme Guide Ayatollah Ali Khamenei.	Yet a process of de-institutionalization of religious experience is also taking place within Islam.	A Europe for All	But the returns that make US stock markets so attractive reflect a delicate political balance.	They are ignorant, poor, and sick.
The President has powers than it appears, and it is particularly eclipsed by the Supreme Ali Khamenei.	However, a process of désinstitutionalisation experience of religious also happens within Islam.	A Europe for all	But the returns that make us markets of securities if attractive reflect a fragile political balance.	They are poor, sick and uncultivated.

Putin, too, also seems to suspect his regime's impotence.	But America's interest in Iraqi oil was not driven either by economics or energy policy.	After all, they recommend the policies that politicians may or may not want to consider.	The questions are many.	Ahmadinejad is embarking on an adventure; Bernanke is not.
Putin, too, seems suspect the powerlessness of his regime.	But America's interest for Iraqi oil is not dictated by the economy or by energy policy.	After all, they have recommended policies that politicians or taking into consideration.	There are many questions.	Ahmadinejad embarks in an adventure, not Bernanke.

The Committee on Legal Affairs and the Internal Market rightly insists on no upper limit and a minimum of no less than 7%.	The right of a government arbitrarily to set aside its own constitution is the defining characteristic of a tyranny.	Finally, I welcome the idea that we should review the implementation of the programme annually.	Unfortunately, the ultimate objective of a European Constitution would be precisely the opposite, and so, of course, we cannot vote for it.	Therefore, I also believe that this reconciliation is sustainable, but that the government, which has very courageously found a solution to the university issue and to many other issues, needs visible signs of its success, and powerful support, else peace throughout the region will be under threat.
It is right that the Committee on Legal Affairs persists in refusing a ceiling and a minimum rate which cannot be below 7%.	The right for a government to remove arbitrarily its constitution is defining characteristic of a tyranny.	Finally I welcome the idea of us to give an annual assessment of the implementation of the programme.	Unfortunately the final objective of a European Constitution would be exactly opposite and obviously we cannot approve it.	That is why I also believe that this reconciliation can take, and the government, which has very courageously found a solution to the issue of universities and many other problems, needs visible signs of success and a strong support, otherwise the peace threatened in the region as a whole.

Mr President, ladies and gentlemen, I should like to say a few words on the joint resolution, which will, of course, be passed.	(Parliament accepted the oral amendment)	One could indeed wish for more and for improvement, but I honestly believe that we have made a good start.	Mr President, I would like to focus in my speech on Mrs Lalumière' s report, which I think is clearly worded and well put together.	I know that in France they have had whole herd slaughter and this does not seem to be the best way forward.
Mr President, ladies and gentlemen, I would like to speak on the joint resolution that we shall, of course, be voting.	(Parliament accepts the oral amendment)	They can in fact wish to more and better, but I think that it is a good start.	Mr President, in my speech I shall focus on the report by Mrs LalumiÃšre report, which I think is well thought-out and clearly formulated.	I know that in France, the principle of slaughter of the whole herd has been applied, and that this does not seem to be the best way to combat this phenomenon.

Worst of all, I believe, is having to issue a warning that a court judgment in their favour may just be a set of comforting words and make no real difference in their lives.	The Committee on Legal Affairs and the Internal Market rightly insists on no upper limit and a minimum of no less than 7%.	That is what we have done: we have avoided a budgetary crisis by going to Article 272; the financial perspective has been maintained, even though we have used the flexibility instrument.	It is unlikely that the planned protection of the universal provision of services by means of a compensatory fund, as a result of which private profits are ploughed back into public services, will last.	As long ago as 1996 the European Parliament came out in favour of a ban on the use of meat-and-bone meal throughout the European Union in accordance with the precautionary principle - if only.
In my eyes, there is however nothing worse than to have to inform people that a judgment delivered in their favour could be only one series of comforting words and not to have any practical consequence on their existence.	It is right that the Committee on Legal Affairs continues in the refusal of a ceiling and the maintenance of a minimum rate which cannot be less than 7%.	This is what we have done: we have a budget crisis in coming to Article 272; the financial perspectives have been maintained, even if we have used the flexibility instrument.	The safeguard of the universal service using compensation funds which would make it possible to engage of the private profits to the profit of the public service will probably make failure.	From 1996, the European Parliament has declared itself in favour of a ban on the use of meat and bone meal in the European Union, in accordance with the precautionary principle - only if we had listened.

Secondly, say no to the big bang idea of incorporating candidate countries simultaneously as a large group, since that would militate against the principle that each country should be admitted on its own merits.	Do you think that the Austrian model, i.e. bilateral majority resolutions, will be used in future as a way of passing resolutions which bypass the European institutions and of forming a new institution or a new group in order to circumvent unanimity in the Council?	Firstly, simplification and clarification of the Treaties.	We have started to exchange ideas on this question, from which it has emerged that all the Member States want to maintain this ceiling after enlargement.	Do you think that the Austrian model, i.e. bilateral majority resolutions, will be used in future as a way of passing resolutions which bypass the European institutions and of forming a new institution or a new group in order to circumvent unanimity in the Council?
Secondly, it is necessary to say “not” to the concept big-bang which would like that one admits at the same time an major group of country, because that would be in conflict with the principle of the admission of each country according to its merits.	Do you think that the “Austrian” model - namely decision making majority bilateral - will in the future constitute an instrument making it possible to make decisions by being unaware of the European institutions and to found a new institution, or a new group, to be able to circumvent the rule of unanimity within the Council?	Initially, that of a simplification and a clarification of the Treaties.	We have started to have trade on this issue, where it appears that all Member States wish to maintain this ceiling after enlargement.	Do you think that the Austrian 'model' - the majority decisions to be taken in future bilateral - it will be an instrument to take decisions by ignoring the European institutions and to set up a new institution, or a new group, in order to get round the unanimity rule in the Council?

Firstly, simplification and clarification of the Treaties.	We welcome the arrangements proposed in this respect by the Preparatory Committee and adopted by the General Assembly regarding procedures for the registration of non-governmental organisations for involvement in the preparatory process and the Special Session in September 2001.	I stress this point because the market cannot regulate everything, which is why competition is not completely unrestricted, nor should it be.	When we are faced with a potential risk, it is important to apply the precautionary principle.	One could indeed wish for more and for improvement, but I honestly believe that we have made a good start.
First, that of a simplification and clarification of the Treaties.	We welcome the proposed provisions in this respect by the preparatory committee and decided by the General Assembly as regards the way accreditation non-governmental organisations, the preparation process and the special session in September 2001.	I stress this point because the market cannot regulate everything and that, in this context, it is not or cannot be competitive without borders.	When we are faced with a potential risk, it is important to put into practice the principle of precaution.	We can, in fact, want more and better, but I believe that it is a good start.

Mr President, ladies and gentlemen, I should like to say a few words on the joint resolution, which will, of course, be passed.	There is, of course, one crucial event, namely that a start has been made with category four and with looking at ways how we will deal with it, but it is not yet entirely clear whether we have managed to resolve this, partly because the Council refuses to have sufficient input in the attendant thought processes.	I also voted against a text which calls for the incorporation of the Charter of Fundamental Rights into the eventual Treaty of Nice.	Thirdly, acceptance of enlargement and its positive prospects for the individual countries and for the EU as a whole basically depend - and Denmark demonstrated this - on dismantling the social and democratic deficits of European policy.	Thirdly, acceptance of enlargement and its positive prospects for the individual countries and for the EU as a whole basically depend - and Denmark demonstrated this - on dismantling the social and democratic deficits of European policy.
Mr President, ladies and gentlemen, I would like to speak on the joint resolution that obviously we shall vote.	There is, of course, a very important point, it is the fact that we started the heading four, with its approach, but we do not know yet very well if we managed to solve the problem, in particular because the Council does not wish to take part sufficiently in the reflexion.	I also voted against a text which calls for the incorporation of the Charter of Fundamental Rights in the future Treaty, which will be adopted in Nice.	Thirdly: the positive acceptance of enlargement and its prospects for the various countries and the EU as a whole largely depend - the example of Denmark east there for us to show it - elimination on the social and democratic deficits for the European policy.	Thirdly, the acceptance of enlargement and its positive prospects for the various countries and the EU as a whole dependent – the example of Denmark is there for us to show it – elimination on social and democratic deficits for European policy.

Question No 6 by (H-0886/00):	Thank you very much, Commissioner.	We shall have to speak with just one disagreeable voice in the WTO.	If we want to help Indonesia we must act now with money and deeds, not merely words.	There is an urgent need, following the recent attacks on the Greek minority in Himara, to promote democratisation measures and measures to strengthen institutions and respect for human rights in Albania.
Question No 6 by (h 0886 / 00):	Thank you very much, Mr Commissioner.	We speak with one voice disgracieuse within the WTO.	If we want to help Indonesia, we now have to intervene with money and concrete actions, and not only with words.	The recent incidents against the Greek minority in Himara make it more imperative the need to promote measures for democratisation, strengthening the institutions and respect for human rights in Albania.

This is no time for the faint-hearted.	That was changed in the face of criticism, especially from Ireland and France, and a different spin has now been put on it by the British Chancellor of the Exchequer: it is now being portrayed as a user charge for all, including British lorry drivers.	Those who stand apart from reinforced cooperation are really being given the same freedom as the back seat passengers in a car.	Worst of all, I believe, is having to issue a warning that a court judgment in their favour may just be a set of comforting words and make no real difference in their lives.	- My party has serious reservations about Community law applying to the sale of consumer products, as against applying the concept of mutual recognition of standards.
It is not the time to be hesitant.	Faced with criticisms, particularly those of Ireland and France, the British Chancellor of the Exchequer has given a new interpretation: it is now a matter of resources for all users, including the drivers of heavy goods vehicles.	Those who reject reinforced cooperation enjoy the same freedom of movement that passengers back the seat of a car.	In my view, there is, however, nothing worse than having to warn people that a ruling for them could only be a series of words pleasing and have no practical effect on their existence.	My party has profound reservations about the regulation of the sale of consumer goods by means of Community legislation, as it expresses reservations about the concept of mutual recognition of standards.

The resolution on Nice, voted today, does not reflect this.	We have started to exchange ideas on this question, from which it has emerged that all the Member States want to maintain this ceiling after enlargement.	This is a vague area, and it is possible that more restrictive provisions may also remain in force, and this is one point in respect of which we have tabled amendments.	The right of a government arbitrarily to set aside its own constitution is the defining characteristic of a tyranny.	Worst of all, I believe, is having to issue a warning that a court judgment in their favour may just be a set of comforting words and make no real difference in their lives.
The resolution on the Nice Summit, which has just been adopted, does not reflect.	We have started to have discussions on this issue, which show that all the Member States want to keep the ceiling after enlargement.	Things are not clear on this point, and it is not impossible that can also remain in force more restrictive measures, which is particularly on this point that we have tabled amendments.	The right for a government to draw aside its constitution arbitrarily is the definition characteristic of a tyranny.	In my view, there is, however, nothing worse than having to warn people that a ruling for them could only be a series of words pleasing and have no practical effect on their existence.

I should also have liked the Court of Auditors' report to have been a little more user-friendly and to have provided a number of clear recommendations, for example one or two per chapter.	Thank you very much, Commissioner.	If we want to help Indonesia we must act now with money and deeds, not merely words.	This is also the position advocated by the rapporteur, and it is shared by the European People' s Party.	This is a vague area, and it is possible that more restrictive provisions may also remain in force, and this is one point in respect of which we have tabled amendments.
I would also have liked to see the report of the Court of Auditors a little more user-friendly and if he had presented a few clear recommendations - for example, one or two recommendations by chapter.	Thank you very much, Mr Commissioner.	If we want to help Indonesia, we must speak now with money and concrete action, and not just with words.	This is the position defended by the rapporteur and by the popular Party.	It is not clear on this point, and it is not impossible that can also remain in force more restrictive measures, especially on this point than we tabled amendments.

The right of a government arbitrarily to set aside its own constitution is the defining characteristic of a tyranny.	Firstly, simplification and clarification of the Treaties.	Action is needed quickly, which is why we decided to include this item on the agenda.	As there is still a lot of uncertainty, we must know what the scientific facts are and what action must be taken.	This is also the position advocated by the rapporteur, and it is shared by the European People' s Party.
The right to a government to remove arbitrarily its Constitution is the defining characteristic of a tyranny.	Firstly, that of a simplification of the Treaties.	There is urgency and therefore we decided to put this point at the order of business.	We need to know today, since we are still in uncertainty, what are the scientific data, what measures are to be taken.	That is the position defended by the rapporteur and shared by the European People's Party.

This is our priority fight in order to ensure that the affirmation of fundamental rights is put into practice in our political decisions.	Spain has done a magnificent job in turning round the difficult neighbourly relations which Europe and North Africa and Spain and Morocco have suffered during the course of history.	Slovakia has not been condemned to the second division and it is logical that it should like to join together with the Czech Republic.	If we define a clear, binding framework for the Member States, then there should be a longer evaluation period for the various support systems required to satisfy these requirements.	Mr President, I would like to focus in my speech on Mrs Lalumière' s report, which I think is clearly worded and well put together.
This is our struggle for priority that the affirmation of fundamental rights to be implemented in political choices.	Spain developed in a remarkably positive way the difficult vicinity which always existed between Europe and North Africa and between Spain and Morocco.	Slovakia is not doomed to remain in the second group, and it is logical that it wants to join the Union at the same time as the Czech Republic.	If we create a clear framework and binding on the Member States, the various systems to meet these requirements should have a longer period test.	Mr President, in my speech I shall focus on the report by Mrs LalumiÃšre report, which I think is well thought-out and clearly formulated.

Mr President, I would like to focus in my speech on Mrs Lalumière' s report, which I think is clearly worded and well put together.	Thirdly, acceptance of enlargement and its positive prospects for the individual countries and for the EU as a whole basically depend - and Denmark demonstrated this - on dismantling the social and democratic deficits of European policy.	I also voted against a text which calls for the incorporation of the Charter of Fundamental Rights into the eventual Treaty of Nice.	The aim of the annual review is to identify such potential improvements.	The very worst situation is when the women concerned also come from distant countries, having taken the work on out of desperation because they have no other way of continuing to provide for themselves.
Mr. President, I will concentrate in my intervention on the report/ratio of Mrs. Lalumière, report/ratio which I find formulated well conceived and clearly.	Thirdly: the acceptance of enlargement and its positive prospects for the various countries and for the EU as a whole depend - the example of Denmark is here to show this - largely to the elimination of social and democratic deficits in European policy.	I also voted against a text which calls for the incorporation of the Charter of Fundamental Rights in the future Treaty, which will be adopted in Nice.	The annual report is designed to identify such potential improvements.	The situation is worsening, when it comes to women distant countries which have accepted this work by necessity and which have no alternative to continue to meet their basic needs.

Without doubt, it was better to have no agreement at all than a poor one and it is true that, in this instance, the American proposal was a third-rate proposal, and one which was completely unacceptable to Europe.	The Council of Europe, along with the Court of Human Rights, has a wealth of experience of such forms of supervision, and we can build on these.	We welcome the arrangements proposed in this respect by the Preparatory Committee and adopted by the General Assembly regarding procedures for the registration of non-governmental organisations for involvement in the preparatory process and the Special Session in September 2001.	There is, of course, one crucial event, namely that a start has been made with category four and with looking at ways how we will deal with it, but it is not yet entirely clear whether we have managed to resolve this, partly because the Council refuses to have sufficient input in the attendant thought processes.	We have started to exchange ideas on this question, from which it has emerged that all the Member States want to maintain this ceiling after enlargement.
Without doubt, just better to have no agreement than having an agreement that is wrong and, in this case, the US proposal was a watered-down proposal, which is totally unacceptable for Europe.	As the Court of Human Rights, the Council of Europe has also solid experience as regards such forms of control. We can take as a basis.	We welcome the proposed provisions in this respect by the preparatory committee and decided by the General Assembly as regards the way accreditation non-governmental organisations, the preparation process and the special session in September 2001.	There is, of course, a very important point is the fact that we have started category four, with his approach, but we do not yet know very well if we managed to solve the problem, particularly because the Council does not wish to participate in the discussion.	We have started to have discussions on this issue, which show that all the Member States want to keep the ceiling after enlargement.

Mr President, the Commission' s attitude to the right of access to documents may be seen from the internal handbook sent on 11 October to employees of the Commission to tell them how to deal with requests from MEPs for access to documents.	The aim of the annual review is to identify such potential improvements.	It is gratifying that Parliament has succeeded in producing a large majority in favour of more openness.	I wonder if the Commissioner has planned any steps in this respect to demonstrate that we really do consider Kostunica to be the only lawfully elected representative of the Serbian people, and the only partner with whom the European Union is involved as from today.	Fifty-seven senators, including 24 Republicans, have signed the letter.
Mr President, we can see the Commission's position in terms of public access to documents by reading the internal manual which was given on 11 October, with the Commission officials in order to explain the way in which they were to deal with the requests from the Members with regard to access to documents.	The report aims to identify such improvements.	We should be pleased that Parliament has succeeded in bringing together a large majority in favour of greater transparency.	I wonder whether the Commissioner already provides for steps to show that we consider Kostunica as the legally elected representative of the Serbian people and as a partner with which the European Union will now have to deal with.	Of those who signed the letter, 57 are senators, including 24 Republicans.

Action is needed quickly, which is why we decided to include this item on the agenda.	Whilst employment may be the European Union' s priority policy, fisheries, as another economic sector, cannot remain on the sidelines.	Either we are in a club or we are out of it and it is particularly important that we accept this.	Declarations must be followed by concrete steps to trace, freeze, seize and confiscate the proceeds of crime.	Lastly, and most controversially, the committee strongly called for the use of a fast-track procedure to implement this legislation.
There is urgency and that is why we decided to put this item on the agenda.	If employment is the political priority of the Union, the fishing industry, as the economic sector, cannot remain on the sidelines.	Either we are part of the club, or we are not and we must therefore we abide by this decision.	The declarations must be followed concrete actions to identify, freeze, seize and confiscate the products of the crime.	Finally, and this is a more controversial topic, the Committee has called with vigour to make use of the fast-track procedure to implement this legislation.

I also voted against a text which calls for the incorporation of the Charter of Fundamental Rights into the eventual Treaty of Nice.	This is also the position advocated by the rapporteur, and it is shared by the European People' s Party.	The labelling of beef that was agreed on, which is a minimum form of labelling and only came into force two and a half months ago, does not make it possible for the origin of animals to be adequately traced, and we were very slow to ban specified risk materials.	Thank you very much, Commissioner.	On my own behalf and on behalf of my colleagues in the Committee on Fisheries, I would ask you, Madam President, to send Parliament' s condolences to the families of the victims and to the local authorities in both Brittany and in Marín, Galicia, from where the majority of the victims came.
I have also voted against a text that calls for the incorporation of the Charter of Fundamental Rights in the future Treaty to be adopted in Nice.	It is the position defended by the rapporteur and shared by the European People's Party.	The labelling of beef which has been decided, which is a minimum labelling and which has only been in force for two and a half months ago, does not properly to trace the origin of animals and we have banned rather belatedly specified risk material.	Thank you very much, Mr Commissioner.	Madam President, I ask you, on behalf of my colleagues in the Committee on Fisheries and on my own behalf, to send a message of condolence from Parliament to the families of the victims and to the local authorities of both Brittany and of Marín, city of Galicia, which is from the majority of the victims.

It must genuinely be a centre for coordinating the network of national agencies which, in turn, must activate and coordinate a network of centres of excellence for food safety at the level of the individual regions.	Mr President, I would like to focus in my speech on Mrs Lalumière' s report, which I think is clearly worded and well put together.	Worst of all, I believe, is having to issue a warning that a court judgment in their favour may just be a set of comforting words and make no real difference in their lives.	Thirdly, acceptance of enlargement and its positive prospects for the individual countries and for the EU as a whole basically depend - and Denmark demonstrated this - on dismantling the social and democratic deficits of European policy.	From the first discussions on this dossier, which were held at European level at the initiative of the European Parliament, the Commission has given a commitment to the Member States to pursue a course of action designed to develop what we might call a European police culture, grounded in the highest standards of duty, respect for the rights and freedoms of our citizens and efficiency in the fight against crime.
It must be the true brain coordination of the network of national agencies, which, in turn, must activate and coordinate a network of centres of excellence food safety at regional level.	Mr President, in my speech I shall focus on the report by Mrs LalumiÃšre report, which I think is well thought-out and clearly formulated.	In my eyes, there is however nothing worse than to have to inform people that a judgment delivered in their favour could be only one series of comforting words and not to have any practical consequence on their existence.	Thirdly: the acceptance of enlargement and its positive prospects for the various countries and for the EU as a whole depend – the example of Denmark is there for us to show this - the elimination of social and democratic deficits of European policy.	Since the initial reflections on this issue, which took place at European level at the initiative of the European Parliament, the Commission is committed towards the Member States to promote action to develop what we could consider it as a police European culture, focused on the highest standards in the field of ethics, respect for the rights and freedoms of the people, and effectiveness in the fight against crime.

But I would like to say to Parliament this afternoon that we should not lose sight of the fact that the EU spends just 1% of GDP and much of that is administered in the Member States.	On the other hand, we would like to be given a chance to prove to Europe that we are able to develop the constitutional equality of Serbia and Montenegro within Yugoslavia on our own, by recognising the genuine principles of democracy.	I would urge the French Presidency to do their utmost to overcome this divide, because it is extremely destructive.	I stress this point because the market cannot regulate everything, which is why competition is not completely unrestricted, nor should it be.	There is, of course, one crucial event, namely that a start has been made with category four and with looking at ways how we will deal with it, but it is not yet entirely clear whether we have managed to resolve this, partly because the Council refuses to have sufficient input in the attendant thought processes.
Nevertheless, I would like to say to the House this afternoon that we must not lose sight of the fact that the European Union spends only 1% of the GDP of the Member States and that the bulk of this money is managed in the Member States.	In addition, we would like to be likely to prove in Europe which we are able to develop only the constitutional equality of Serbia and Montenegro within Yugoslavia, by recognizing the true democratic principles.	I appeal urgently to the French Presidency to do everything in its power to bridge this gap particularly destructive.	I insist on this point because the market cannot regulate all and that, accordingly, it does not have there nor cannot have there of competition without limits.	There is, of course, a very important point is the fact that we have started category four, with his approach, but we do not yet know very well if we managed to solve the problem, particularly because the Council does not wish to participate in the discussion.

Reiterating the calls made by the European Parliament in its resolution of 16 March 2000, what initiatives does the Presidency of the European Council propose to take with a view to playing a more active role so as to guarantee the full and complete application of the UN peace plan?	The other viewpoint illustrated by the rapporteur' s initial statement and shared by a number of members is to promote regulations and codes of conduct which are needed in order to establish among insurers ways of organising costs on a mutual basis providing everybody with guaranteed access to high-quality care and to counter the risk of discriminatory practices developing together with risk and client selection.	Whilst employment may be the European Union' s priority policy, fisheries, as another economic sector, cannot remain on the sidelines.	On the other hand, we would like to be given a chance to prove to Europe that we are able to develop the constitutional equality of Serbia and Montenegro within Yugoslavia on our own, by recognising the genuine principles of democracy.	Mr President, I voted for the García-Margallo y Marfil report on the taxation of electronic commerce.
